Player,Org,ProfileURL,Region,MatchID,MapNum,MapName,SeriesFormat,R2.0,ACS,K,D,A,KAST,ADR,HS%,FK,FD,K:D
hiro,NAVI,https://www.vlr.gg/player/29867/hiro,EMEA,673538,268068,Pearl,bo3,1.18,221.0,22.0,17.0,6.0,81%,136.0,42%,3.0,3.0,1.29
chloric,NAVI,https://www.vlr.gg/player/15639/chloric,EMEA,673538,268068,Pearl,bo3,0.98,195.0,18.0,18.0,5.0,65%,135.0,25%,2.0,2.0,1.0
Ruxic,NAVI,https://www.vlr.gg/player/18677/ruxic,EMEA,673538,268068,Pearl,bo3,0.98,203.0,17.0,18.0,11.0,85%,132.0,29%,1.0,1.0,0.94
ExiT,NAVI,https://www.vlr.gg/player/11917/exit,EMEA,673538,268068,Pearl,bo3,0.84,210.0,17.0,21.0,4.0,69%,137.0,21%,5.0,2.0,0.81
Filu,NAVI,https://www.vlr.gg/player/4544/filu,EMEA,673538,268068,Pearl,bo3,0.81,157.0,16.0,19.0,3.0,69%,104.0,43%,1.0,6.0,0.84
seven,PCF,https://www.vlr.gg/player/8376/seven,EMEA,673538,268068,Pearl,bo3,1.4,275.0,25.0,16.0,9.0,81%,186.0,31%,4.0,3.0,1.56
cNed,PCF,https://www.vlr.gg/player/573/cned,EMEA,673538,268068,Pearl,bo3,1.24,253.0,24.0,19.0,5.0,77%,163.0,19%,5.0,1.0,1.26
NINJA,PCF,https://www.vlr.gg/player/28948/ninja,EMEA,673538,268068,Pearl,bo3,1.07,188.0,17.0,16.0,6.0,77%,144.0,31%,0.0,2.0,1.06
al0rante,PCF,https://www.vlr.gg/player/5292/al0rante,EMEA,673538,268068,Pearl,bo3,0.87,211.0,19.0,21.0,2.0,69%,135.0,57%,5.0,4.0,0.9
qpert,PCF,https://www.vlr.gg/player/7105/qpert,EMEA,673538,268068,Pearl,bo3,0.5,87.0,8.0,18.0,7.0,73%,53.0,24%,0.0,2.0,0.44
Ruxic,NAVI,https://www.vlr.gg/player/18677/ruxic,EMEA,673538,268069,Fracture,bo3,1.21,220.0,19.0,12.0,5.0,91%,138.0,31%,2.0,2.0,1.58
hiro,NAVI,https://www.vlr.gg/player/29867/hiro,EMEA,673538,268069,Fracture,bo3,1.16,212.0,17.0,15.0,7.0,78%,139.0,20%,3.0,3.0,1.13
chloric,NAVI,https://www.vlr.gg/player/15639/chloric,EMEA,673538,268069,Fracture,bo3,1.08,132.0,11.0,10.0,10.0,74%,91.0,24%,0.0,1.0,1.1
Filu,NAVI,https://www.vlr.gg/player/4544/filu,EMEA,673538,268069,Fracture,bo3,0.98,197.0,17.0,14.0,1.0,65%,120.0,39%,1.0,3.0,1.21
ExiT,NAVI,https://www.vlr.gg/player/11917/exit,EMEA,673538,268069,Fracture,bo3,0.69,178.0,15.0,18.0,4.0,65%,109.0,13%,3.0,5.0,0.83
cNed,PCF,https://www.vlr.gg/player/573/cned,EMEA,673538,268069,Fracture,bo3,1.24,257.0,22.0,15.0,3.0,65%,156.0,12%,6.0,5.0,1.47
qpert,PCF,https://www.vlr.gg/player/7105/qpert,EMEA,673538,268069,Fracture,bo3,1.17,202.0,16.0,15.0,11.0,74%,126.0,34%,2.0,2.0,1.07
NINJA,PCF,https://www.vlr.gg/player/28948/ninja,EMEA,673538,268069,Fracture,bo3,0.8,130.0,10.0,16.0,4.0,65%,93.0,22%,3.0,0.0,0.62
al0rante,PCF,https://www.vlr.gg/player/5292/al0rante,EMEA,673538,268069,Fracture,bo3,0.79,154.0,11.0,17.0,4.0,61%,103.0,29%,0.0,0.0,0.65
seven,PCF,https://www.vlr.gg/player/8376/seven,EMEA,673538,268069,Fracture,bo3,0.65,129.0,10.0,16.0,4.0,70%,80.0,18%,3.0,2.0,0.62
hiro,NAVI,https://www.vlr.gg/player/29867/hiro,EMEA,673538,268070,Ascent,bo3,1.7,278.0,26.0,11.0,6.0,81%,172.0,51%,2.0,3.0,2.36
Ruxic,NAVI,https://www.vlr.gg/player/18677/ruxic,EMEA,673538,268070,Ascent,bo3,1.26,258.0,25.0,17.0,9.0,81%,180.0,31%,2.0,3.0,1.47
ExiT,NAVI,https://www.vlr.gg/player/11917/exit,EMEA,673538,268070,Ascent,bo3,0.86,212.0,19.0,19.0,2.0,65%,119.0,10%,8.0,4.0,1.0
chloric,NAVI,https://www.vlr.gg/player/15639/chloric,EMEA,673538,268070,Ascent,bo3,0.73,116.0,8.0,17.0,9.0,58%,79.0,7%,1.0,1.0,0.47
Filu,NAVI,https://www.vlr.gg/player/4544/filu,EMEA,673538,268070,Ascent,bo3,0.71,100.0,9.0,16.0,5.0,65%,72.0,29%,1.0,1.0,0.56
cNed,PCF,https://www.vlr.gg/player/573/cned,EMEA,673538,268070,Ascent,bo3,1.23,213.0,18.0,16.0,3.0,73%,147.0,19%,6.0,2.0,1.12
al0rante,PCF,https://www.vlr.gg/player/5292/al0rante,EMEA,673538,268070,Ascent,bo3,1.21,263.0,26.0,19.0,6.0,73%,166.0,39%,3.0,2.0,1.37
NINJA,PCF,https://www.vlr.gg/player/28948/ninja,EMEA,673538,268070,Ascent,bo3,0.89,178.0,16.0,17.0,4.0,73%,132.0,36%,0.0,1.0,0.94
seven,PCF,https://www.vlr.gg/player/8376/seven,EMEA,673538,268070,Ascent,bo3,0.68,176.0,15.0,20.0,3.0,54%,117.0,30%,2.0,8.0,0.75
qpert,PCF,https://www.vlr.gg/player/7105/qpert,EMEA,673538,268070,Ascent,bo3,0.62,78.0,5.0,15.0,9.0,62%,55.0,25%,1.0,1.0,0.33
LewN,KC,https://www.vlr.gg/player/20144/lewn,EMEA,673539,268071,PearlPICK,bo3,1.68,358.0,26.0,13.0,7.0,80%,221.0,29%,6.0,3.0,2.0
SUYGETSU,KC,https://www.vlr.gg/player/2858/suygetsu,EMEA,673539,268071,PearlPICK,bo3,1.48,235.0,18.0,9.0,2.0,95%,147.0,33%,2.0,1.0,2.0
N4RRATE,KC,https://www.vlr.gg/player/36245/n4rrate,EMEA,673539,268071,PearlPICK,bo3,1.1,208.0,15.0,12.0,6.0,85%,135.0,30%,1.0,2.0,1.25
dos9,KC,https://www.vlr.gg/player/16215/dos9,EMEA,673539,268071,PearlPICK,bo3,1.1,193.0,14.0,12.0,5.0,75%,132.0,28%,1.0,1.0,1.17
Avez,KC,https://www.vlr.gg/player/5654/avez,EMEA,673539,268071,PearlPICK,bo3,0.63,144.0,11.0,14.0,2.0,70%,95.0,32%,0.0,3.0,0.79
Flickless,GX,https://www.vlr.gg/player/6959/flickless,EMEA,673539,268071,PearlPICK,bo3,1.03,198.0,13.0,16.0,9.0,60%,128.0,26%,2.0,2.0,0.81
Cloud,GX,https://www.vlr.gg/player/4181/cloud,EMEA,673539,268071,PearlPICK,bo3,0.96,224.0,16.0,18.0,4.0,65%,167.0,28%,2.0,0.0,0.89
ara,GX,https://www.vlr.gg/player/11332/ara,EMEA,673539,268071,PearlPICK,bo3,0.74,158.0,12.0,16.0,2.0,60%,98.0,33%,4.0,4.0,0.75
grubinho,GX,https://www.vlr.gg/player/5550/grubinho,EMEA,673539,268071,PearlPICK,bo3,0.61,133.0,8.0,17.0,8.0,45%,94.0,17%,1.0,2.0,0.47
westside,GX,https://www.vlr.gg/player/34684/westside,EMEA,673539,268071,PearlPICK,bo3,0.61,170.0,11.0,17.0,1.0,65%,122.0,52%,1.0,2.0,0.65
Avez,KC,https://www.vlr.gg/player/5654/avez,EMEA,673539,268072,HavenPICK,bo3,1.63,261.0,17.0,6.0,6.0,76%,173.0,14%,2.0,0.0,2.83
SUYGETSU,KC,https://www.vlr.gg/player/2858/suygetsu,EMEA,673539,268072,HavenPICK,bo3,1.6,286.0,19.0,7.0,3.0,82%,185.0,26%,2.0,0.0,2.71
dos9,KC,https://www.vlr.gg/player/16215/dos9,EMEA,673539,268072,HavenPICK,bo3,1.34,191.0,11.0,8.0,13.0,88%,108.0,12%,1.0,1.0,1.38
LewN,KC,https://www.vlr.gg/player/20144/lewn,EMEA,673539,268072,HavenPICK,bo3,1.02,194.0,13.0,11.0,2.0,82%,124.0,18%,4.0,1.0,1.18
N4RRATE,KC,https://www.vlr.gg/player/36245/n4rrate,EMEA,673539,268072,HavenPICK,bo3,0.98,196.0,11.0,10.0,9.0,76%,149.0,25%,4.0,2.0,1.1
ara,GX,https://www.vlr.gg/player/11332/ara,EMEA,673539,268072,HavenPICK,bo3,0.97,194.0,11.0,14.0,2.0,53%,115.0,23%,1.0,3.0,0.79
westside,GX,https://www.vlr.gg/player/34684/westside,EMEA,673539,268072,HavenPICK,bo3,0.91,202.0,12.0,15.0,3.0,53%,132.0,39%,1.0,2.0,0.8
Flickless,GX,https://www.vlr.gg/player/6959/flickless,EMEA,673539,268072,HavenPICK,bo3,0.66,113.0,7.0,13.0,2.0,53%,84.0,30%,1.0,1.0,0.54
Cloud,GX,https://www.vlr.gg/player/4181/cloud,EMEA,673539,268072,HavenPICK,bo3,0.52,137.0,7.0,14.0,4.0,53%,101.0,29%,1.0,3.0,0.5
grubinho,GX,https://www.vlr.gg/player/5550/grubinho,EMEA,673539,268072,HavenPICK,bo3,0.4,83.0,5.0,15.0,6.0,59%,59.0,42%,0.0,4.0,0.33
Ruxic,NAVI,https://www.vlr.gg/player/18677/ruxic,EMEA,673540,268074,Pearl,bo3,1.8,297.0,21.0,6.0,2.0,76%,195.0,33%,0.0,0.0,3.5
Filu,NAVI,https://www.vlr.gg/player/4544/filu,EMEA,673540,268074,Pearl,bo3,1.77,348.0,21.0,10.0,11.0,88%,224.0,38%,3.0,2.0,2.1
chloric,NAVI,https://www.vlr.gg/player/15639/chloric,EMEA,673540,268074,Pearl,bo3,1.33,197.0,11.0,7.0,7.0,88%,133.0,15%,0.0,0.0,1.57
ExiT,NAVI,https://www.vlr.gg/player/11917/exit,EMEA,673540,268074,Pearl,bo3,1.15,240.0,14.0,14.0,8.0,88%,146.0,8%,8.0,2.0,1.0
hiro,NAVI,https://www.vlr.gg/player/29867/hiro,EMEA,673540,268074,Pearl,bo3,0.75,116.0,8.0,8.0,2.0,65%,75.0,64%,1.0,1.0,1.0
dos9,KC,https://www.vlr.gg/player/16215/dos9,EMEA,673540,268074,Pearl,bo3,0.84,199.0,12.0,14.0,2.0,53%,118.0,30%,2.0,3.0,0.86
LewN,KC,https://www.vlr.gg/player/20144/lewn,EMEA,673540,268074,Pearl,bo3,0.71,183.0,11.0,15.0,1.0,53%,125.0,44%,2.0,3.0,0.73
Avez,KC,https://www.vlr.gg/player/5654/avez,EMEA,673540,268074,Pearl,bo3,0.68,139.0,8.0,15.0,3.0,41%,101.0,34%,0.0,0.0,0.53
N4RRATE,KC,https://www.vlr.gg/player/36245/n4rrate,EMEA,673540,268074,Pearl,bo3,0.47,149.0,6.0,16.0,6.0,53%,120.0,29%,1.0,2.0,0.38
SUYGETSU,KC,https://www.vlr.gg/player/2858/suygetsu,EMEA,673540,268074,Pearl,bo3,0.42,123.0,8.0,15.0,1.0,41%,80.0,30%,0.0,4.0,0.53
ExiT,NAVI,https://www.vlr.gg/player/11917/exit,EMEA,673540,268075,Split,bo3,1.64,380.0,22.0,12.0,2.0,88%,232.0,14%,5.0,4.0,1.83
Ruxic,NAVI,https://www.vlr.gg/player/18677/ruxic,EMEA,673540,268075,Split,bo3,1.44,263.0,15.0,9.0,12.0,88%,163.0,21%,0.0,0.0,1.67
chloric,NAVI,https://www.vlr.gg/player/15639/chloric,EMEA,673540,268075,Split,bo3,1.31,152.0,10.0,5.0,6.0,81%,93.0,24%,1.0,0.0,2.0
hiro,NAVI,https://www.vlr.gg/player/29867/hiro,EMEA,673540,268075,Split,bo3,0.9,181.0,11.0,9.0,5.0,75%,115.0,27%,2.0,2.0,1.22
Filu,NAVI,https://www.vlr.gg/player/4544/filu,EMEA,673540,268075,Split,bo3,0.88,166.0,11.0,11.0,2.0,75%,123.0,38%,1.0,1.0,1.0
LewN,KC,https://www.vlr.gg/player/20144/lewn,EMEA,673540,268075,Split,bo3,1.0,223.0,13.0,14.0,1.0,44%,146.0,23%,2.0,2.0,0.93
N4RRATE,KC,https://www.vlr.gg/player/36245/n4rrate,EMEA,673540,268075,Split,bo3,0.79,173.0,8.0,14.0,5.0,75%,133.0,15%,1.0,2.0,0.57
SUYGETSU,KC,https://www.vlr.gg/player/2858/suygetsu,EMEA,673540,268075,Split,bo3,0.68,159.0,10.0,12.0,1.0,75%,92.0,10%,1.0,1.0,0.83
Avez,KC,https://www.vlr.gg/player/5654/avez,EMEA,673540,268075,Split,bo3,0.55,165.0,8.0,15.0,2.0,56%,114.0,26%,2.0,2.0,0.53
dos9,KC,https://www.vlr.gg/player/16215/dos9,EMEA,673540,268075,Split,bo3,0.53,149.0,7.0,14.0,3.0,50%,93.0,20%,1.0,2.0,0.5
al0rante,PCF,https://www.vlr.gg/player/5292/al0rante,EMEA,673541,268077,Lotus,bo3,1.2,261.0,20.0,13.0,2.0,70%,156.0,53%,1.0,0.0,1.54
seven,PCF,https://www.vlr.gg/player/8376/seven,EMEA,673541,268077,Lotus,bo3,0.85,246.0,16.0,17.0,4.0,75%,167.0,17%,6.0,2.0,0.94
cNed,PCF,https://www.vlr.gg/player/573/cned,EMEA,673541,268077,Lotus,bo3,0.82,179.0,12.0,16.0,4.0,50%,131.0,35%,2.0,5.0,0.75
NINJA,PCF,https://www.vlr.gg/player/28948/ninja,EMEA,673541,268077,Lotus,bo3,0.77,135.0,9.0,12.0,7.0,65%,101.0,25%,0.0,0.0,0.75
qpert,PCF,https://www.vlr.gg/player/7105/qpert,EMEA,673541,268077,Lotus,bo3,0.2,53.0,3.0,14.0,10.0,75%,25.0,8%,1.0,3.0,0.21
Cloud,GX,https://www.vlr.gg/player/4181/cloud,EMEA,673541,268077,Lotus,bo3,1.38,242.0,16.0,11.0,8.0,80%,167.0,42%,1.0,2.0,1.45
grubinho,GX,https://www.vlr.gg/player/5550/grubinho,EMEA,673541,268077,Lotus,bo3,1.36,223.0,16.0,11.0,9.0,80%,134.0,28%,2.0,2.0,1.45
westside,GX,https://www.vlr.gg/player/34684/westside,EMEA,673541,268077,Lotus,bo3,1.06,199.0,15.0,14.0,1.0,65%,135.0,52%,5.0,0.0,1.07
ara,GX,https://www.vlr.gg/player/11332/ara,EMEA,673541,268077,Lotus,bo3,1.01,221.0,16.0,13.0,3.0,75%,141.0,34%,2.0,3.0,1.23
Flickless,GX,https://www.vlr.gg/player/6959/flickless,EMEA,673541,268077,Lotus,bo3,0.83,130.0,9.0,11.0,6.0,85%,74.0,38%,0.0,3.0,0.82
seven,PCF,https://www.vlr.gg/player/8376/seven,EMEA,673541,268078,Breeze,bo3,1.78,343.0,30.0,15.0,3.0,83%,236.0,31%,4.0,3.0,2.0
al0rante,PCF,https://www.vlr.gg/player/5292/al0rante,EMEA,673541,268078,Breeze,bo3,1.05,196.0,17.0,16.0,4.0,71%,134.0,49%,2.0,1.0,1.06
cNed,PCF,https://www.vlr.gg/player/573/cned,EMEA,673541,268078,Breeze,bo3,0.93,162.0,14.0,16.0,3.0,63%,121.0,30%,3.0,5.0,0.88
qpert,PCF,https://www.vlr.gg/player/7105/qpert,EMEA,673541,268078,Breeze,bo3,0.79,125.0,10.0,15.0,6.0,63%,80.0,27%,1.0,2.0,0.67
NINJA,PCF,https://www.vlr.gg/player/28948/ninja,EMEA,673541,268078,Breeze,bo3,0.71,137.0,12.0,17.0,3.0,58%,97.0,37%,2.0,1.0,0.71
Flickless,GX,https://www.vlr.gg/player/6959/flickless,EMEA,673541,268078,Breeze,bo3,1.2,244.0,21.0,16.0,9.0,79%,161.0,31%,4.0,3.0,1.31
grubinho,GX,https://www.vlr.gg/player/5550/grubinho,EMEA,673541,268078,Breeze,bo3,0.86,179.0,15.0,17.0,8.0,83%,105.0,41%,1.0,3.0,0.88
westside,GX,https://www.vlr.gg/player/34684/westside,EMEA,673541,268078,Breeze,bo3,0.85,173.0,14.0,15.0,4.0,58%,115.0,53%,3.0,3.0,0.93
ara,GX,https://www.vlr.gg/player/11332/ara,EMEA,673541,268078,Breeze,bo3,0.85,187.0,15.0,17.0,2.0,79%,116.0,32%,3.0,1.0,0.88
Cloud,GX,https://www.vlr.gg/player/4181/cloud,EMEA,673541,268078,Breeze,bo3,0.76,173.0,14.0,18.0,3.0,63%,122.0,33%,1.0,2.0,0.78
NINJA,PCF,https://www.vlr.gg/player/28948/ninja,EMEA,673541,268079,Ascent,bo3,1.08,220.0,15.0,14.0,5.0,70%,154.0,31%,0.0,1.0,1.07
cNed,PCF,https://www.vlr.gg/player/573/cned,EMEA,673541,268079,Ascent,bo3,1.06,215.0,15.0,14.0,3.0,65%,148.0,21%,1.0,2.0,1.07
seven,PCF,https://www.vlr.gg/player/8376/seven,EMEA,673541,268079,Ascent,bo3,1.02,221.0,14.0,14.0,4.0,75%,135.0,38%,4.0,7.0,1.0
al0rante,PCF,https://www.vlr.gg/player/5292/al0rante,EMEA,673541,268079,Ascent,bo3,0.92,184.0,15.0,14.0,2.0,55%,138.0,41%,1.0,2.0,1.07
qpert,PCF,https://www.vlr.gg/player/7105/qpert,EMEA,673541,268079,Ascent,bo3,0.4,102.0,5.0,18.0,10.0,65%,75.0,38%,1.0,1.0,0.28
ara,GX,https://www.vlr.gg/player/11332/ara,EMEA,673541,268079,Ascent,bo3,1.46,242.0,19.0,11.0,4.0,85%,160.0,23%,3.0,2.0,1.73
grubinho,GX,https://www.vlr.gg/player/5550/grubinho,EMEA,673541,268079,Ascent,bo3,1.37,222.0,17.0,11.0,8.0,80%,145.0,33%,1.0,2.0,1.55
Cloud,GX,https://www.vlr.gg/player/4181/cloud,EMEA,673541,268079,Ascent,bo3,1.09,233.0,16.0,14.0,7.0,55%,150.0,35%,5.0,1.0,1.14
Flickless,GX,https://www.vlr.gg/player/6959/flickless,EMEA,673541,268079,Ascent,bo3,1.08,214.0,14.0,14.0,12.0,85%,145.0,16%,2.0,0.0,1.0
westside,GX,https://www.vlr.gg/player/34684/westside,EMEA,673541,268079,Ascent,bo3,0.68,99.0,8.0,14.0,4.0,65%,78.0,33%,2.0,2.0,0.57
LewN,KC,https://www.vlr.gg/player/20144/lewn,EMEA,673542,268080,AscentPICK,bo3,1.95,414.0,24.0,8.0,3.0,87%,239.0,20%,8.0,1.0,3.0
Avez,KC,https://www.vlr.gg/player/5654/avez,EMEA,673542,268080,AscentPICK,bo3,1.63,285.0,16.0,7.0,7.0,93%,207.0,43%,3.0,0.0,2.29
dos9,KC,https://www.vlr.gg/player/16215/dos9,EMEA,673542,268080,AscentPICK,bo3,1.21,123.0,9.0,5.0,6.0,80%,82.0,26%,0.0,1.0,1.8
SUYGETSU,KC,https://www.vlr.gg/player/2858/suygetsu,EMEA,673542,268080,AscentPICK,bo3,1.19,195.0,9.0,7.0,11.0,93%,151.0,40%,1.0,0.0,1.29
N4RRATE,KC,https://www.vlr.gg/player/36245/n4rrate,EMEA,673542,268080,AscentPICK,bo3,0.99,193.0,10.0,7.0,9.0,73%,140.0,28%,1.0,0.0,1.43
westside,GX,https://www.vlr.gg/player/34684/westside,EMEA,673542,268080,AscentPICK,bo3,1.02,175.0,10.0,12.0,2.0,60%,108.0,38%,0.0,0.0,0.83
grubinho,GX,https://www.vlr.gg/player/5550/grubinho,EMEA,673542,268080,AscentPICK,bo3,0.7,166.0,8.0,13.0,2.0,60%,99.0,18%,0.0,2.0,0.62
Flickless,GX,https://www.vlr.gg/player/6959/flickless,EMEA,673542,268080,AscentPICK,bo3,0.59,175.0,6.0,15.0,5.0,53%,122.0,25%,1.0,4.0,0.4
ara,GX,https://www.vlr.gg/player/11332/ara,EMEA,673542,268080,AscentPICK,bo3,0.54,157.0,7.0,15.0,2.0,53%,117.0,48%,1.0,5.0,0.47
Cloud,GX,https://www.vlr.gg/player/4181/cloud,EMEA,673542,268080,AscentPICK,bo3,0.32,65.0,3.0,13.0,2.0,47%,48.0,13%,0.0,2.0,0.23
LewN,KC,https://www.vlr.gg/player/20144/lewn,EMEA,673542,268081,HavenPICK,bo3,1.7,358.0,24.0,12.0,6.0,89%,224.0,44%,4.0,2.0,2.0
N4RRATE,KC,https://www.vlr.gg/player/36245/n4rrate,EMEA,673542,268081,HavenPICK,bo3,1.67,230.0,15.0,7.0,6.0,89%,155.0,37%,4.0,0.0,2.14
SUYGETSU,KC,https://www.vlr.gg/player/2858/suygetsu,EMEA,673542,268081,HavenPICK,bo3,1.19,221.0,15.0,10.0,5.0,84%,154.0,33%,2.0,2.0,1.5
Avez,KC,https://www.vlr.gg/player/5654/avez,EMEA,673542,268081,HavenPICK,bo3,1.1,142.0,9.0,8.0,10.0,68%,101.0,23%,0.0,3.0,1.12
dos9,KC,https://www.vlr.gg/player/16215/dos9,EMEA,673542,268081,HavenPICK,bo3,0.84,131.0,10.0,9.0,2.0,74%,89.0,26%,1.0,1.0,1.11
Cloud,GX,https://www.vlr.gg/player/4181/cloud,EMEA,673542,268081,HavenPICK,bo3,0.89,204.0,13.0,15.0,4.0,58%,132.0,24%,1.0,2.0,0.87
westside,GX,https://www.vlr.gg/player/34684/westside,EMEA,673542,268081,HavenPICK,bo3,0.83,192.0,11.0,14.0,2.0,63%,132.0,32%,2.0,0.0,0.79
ara,GX,https://www.vlr.gg/player/11332/ara,EMEA,673542,268081,HavenPICK,bo3,0.6,159.0,11.0,16.0,1.0,68%,100.0,18%,4.0,4.0,0.69
grubinho,GX,https://www.vlr.gg/player/5550/grubinho,EMEA,673542,268081,HavenPICK,bo3,0.57,110.0,6.0,15.0,9.0,58%,78.0,19%,0.0,2.0,0.4
Flickless,GX,https://www.vlr.gg/player/6959/flickless,EMEA,673542,268081,HavenPICK,bo3,0.45,64.0,5.0,13.0,0.0,58%,46.0,40%,1.0,3.0,0.38
sociablEE,FUT,https://www.vlr.gg/player/5568/sociablee,EMEA,674854,268116,Fracture,bo3,1.63,262.0,21.0,9.0,5.0,70%,170.0,33%,1.0,1.0,2.33
